Rank,Points,Votes,Name,Film,Group,"Group
Rank",Vote Distribution,Year,Place of Birth,Gender,Birthday,Deathday,Age,Release Date,Genres,ID
776,9,5,Anthony Perkins,The Trial,6,39,12411,1962,USA,2,1932-04-04,1992-09-12,30,1962-12-21,"Crime, Drama",57
776,9,5,Sean Penn,Fast Times at Ridgemont High,7,37,24111,1982,USA,2,1960-08-17,None,22,1982-08-13,"Comedy, Drama",810
778,9,5,Marilyn Burns,The Texas Chain Saw Massacre,15,45,12132,1974,USA,1,1949-07-05,,25,1974-10-01,Horror,590
779,9,4,Toni Servillo,The Great Beauty,5,35,3141,2013,Italy,2,1959-01-25,None,54,2013-05-21,Drama,872
779,9,4,Scatman Crothers,The Shining,19,38,2412,1980,USA,2,1910-05-23,1986-11-22,70,1980-05-23,"Horror, Thriller",804
779,9,4,Joan Blondell,Gold Diggers of 1933,10,40,2124,1933,USA,1,1906-08-30,1979-12-25,26,1933-05-27,"Comedy, Drama",1005
779,9,4,Udo Kier,Blood for Dracula,5,35,2214,1974,Germany,2,1944-10-14,None,29,1974-08-13,Horror,877
783,9,4,Steve McQueen,The Thomas Crown Affair,5,37,2322,1968,USA,2,1930-03-24,1980-11-07,38,1968-06-19,"Crime, Drama, Romance, Thriller",839
783,9,4,Ana de Armas,Knives Out,12,38,2223,2019,Cuba,1,1988-04-30,None,31,2019-09-07,"Mystery, Comedy, Drama, Crime",35
783,9,4,Ray Milland,Dial M for Murder,10,41,3132,1954,UK,2,1907-01-04,1986-03-10,47,1954-05-19,"Crime, Thriller",733
783,9,4,Boris Karloff,Frankenstein,20,46,1332,1931,UK,2,1887-11-23,1969-02-02,44,1931-11-21,"Drama, Horror, Science Fiction",105
783,9,4,James Cagney,Yankee Doodle Dandy,2,41,3231,1942,USA,2,1899-07-17,1986-03-30,42,1942-05-29,"Drama, Music",406
783,9,4,Denis Lavant,Good Work,11,36,3123,1999,France,2,1961-06-17,None,38,1999-09-04,Drama,220
783,9,4,Jack Lemmon,Mister Roberts,11,36,2223,1955,USA,2,1925-02-08,2001-06-27,30,1955-07-10,"Comedy, Drama, Family, War",391
790,9,3,David Bradley,Kes,7,38,414,1969,USA,2,1953-10-02,None,16,1970-03-27,Drama,211
790,9,3,Claire Trevor,Key Largo,13,40,144,1948,USA,1,1910-03-08,2000-04-08,38,1948-07-15,"Action, Crime, Drama, Thriller",187
792,9,3,Eric Roberts,Star 80,9,41,423,1984,USA,2,1956-04-18,None,27,1983-11-10,Drama,269
792,9,3,Judy Holliday,Born Yesterday,9,41,324,1950,USA,1,1921-06-21,1965-06-07,29,1950-12-25,"Comedy, Romance, Drama",490
792,9,3,Geraldine Page,The Beguiled,19,39,342,1971,USA,1,1924-11-22,1987-06-13,46,1971-03-31,"Drama, Thriller, War",321
792,9,3,Susan Sarandon,"Atlantic City, USA",8,43,432,1980,USA,1,1946-10-04,None,33,1980-09-02,"Crime, Drama, Romance",843
792,9,3,Rachel Roberts,Murder on the Orient Express,10,42,324,1974,UK,1,1927-09-20,1980-11-26,47,1974-11-22,"Drama, Thriller, Mystery",727
797,9,3,Marisa Tomei,My Cousin Vinny,4,40,333,1992,USA,1,1964-12-04,None,27,1992-03-13,Comedy,595
797,9,3,Robert Duvall,Tender Mercies,16,38,333,1983,USA,2,1931-01-05,None,52,1983-04-02,"Drama, Music, Romance",1007
799,8,4,Lon Chaney,The Unknown,17,38,1412,1927,USA,2,1906-02-10,1973-07-12,21,1927-06-03,"Drama, Horror, Romance, Thriller",561
799,8,4,Marlene Dietrich,Shanghai Express,8,44,4211,1932,Germany,1,1901-12-27,1992-05-06,30,1932-02-03,"Romance, Drama, Adventure, Thriller",600
799,8,4,Dustin Hoffman,Straw Dogs,9,43,4211,1971,USA,2,1937-08-08,None,34,1971-12-23,"Crime, Drama, Thriller",241
802,8,4,Ginger Rogers,Follow the Fleet,5,38,2231,1936,USA,1,1911-07-16,1995-04-25,24,1936-02-20,"Comedy, Music, Romance",325
803,8,3,Song Kang-ho,JSA: Joint Security Area,3,42,422,2000,South Korea,2,1967-01-17,None,33,2000-09-09,"War, Drama, Thriller, Action",505
803,8,3,Michael B. Jordan,Creed,2,42,422,2015,USA,2,1987-02-09,None,28,2015-11-25,Drama,634
803,8,3,Simone Signoret,Room at the Top,20,47,413,1959,Germany,1,1921-03-25,1985-09-30,37,1959-01-22,"Drama, Romance",822
803,8,3,Scott Wilson,In Cold Blood,14,38,422,1967,USA,2,1942-03-29,2018-10-06,25,1967-12-14,"Crime, Drama",805
803,8,3,John Malkovich,Of Mice and Men,7,39,431,1992,USA,2,1953-12-09,None,38,1992-09-16,Drama,474
803,8,3,Susannah York,Images,7,39,242,1972,UK,1,1939-01-09,2011-01-15,33,1972-05-01,"Drama, Fantasy, Horror",844
803,8,3,Richard Attenborough,Seance on a Wet Afternoon,11,38,143,1964,UK,2,1923-08-29,2014-08-24,40,1964-06-19,"Crime, Drama, Thriller",739
803,8,3,Wendy Hiller,Murder on the Orient Express,11,38,242,1974,UK,1,1912-08-15,2003-05-14,62,1974-11-22,"Drama, Thriller, Mystery",892
811,8,3,Robert Pattinson,Good Time,11,40,323,2017,UK,2,1986-05-13,None,31,2017-05-25,"Crime, Drama, Thriller",763
811,8,3,Claire Trevor,Lady of Deceit,3,43,323,1947,USA,1,1910-03-08,2000-04-08,37,1947-04-30,"Crime, Drama, Thriller",186
811,8,3,Michel Piccoli,We Have a Pope,13,41,233,2011,France,2,1925-12-27,2020-05-12,85,2011-04-15,Drama,643
811,8,3,Carey Mulligan,An Education,8,45,233,2009,UK,1,1985-05-28,None,23,2009-01-18,"Drama, Romance",138
811,8,3,Carole Lombard,My Man Godfrey,18,38,233,1936,USA,1,1908-10-06,1942-01-16,27,1936-09-01,"Comedy, Romance",141
811,8,3,Florence Pugh,Lady Macbeth,5,42,233,2016,UK,1,1996-01-03,None,20,2016-09-12,Drama,289
811,8,3,Sally Hawkins,Happy-Go-Lucky,10,43,233,2008,UK,1,1976-04-27,None,31,2008-04-18,"Drama, Comedy",790
811,8,3,Maggie Cheung,Irma Vep,10,43,332,1996,China,1,1964-09-20,None,31,1996-05-15,"Drama, Comedy",975
811,8,3,Helmut Berger,Ludwig II.,9,44,233,1973,Austria,2,1944-05-29,None,28,1973-01-18,"Drama, History",355
820,8,2,Hikari Mitsushima,Love Exposure,1,42,44,2008,Japan,1,1985-11-30,None,23,2008-11-29,"Action, Comedy, Drama, Romance",984
820,8,2,Daniel Auteuil,A Heart in Winter,1,42,44,1992,Algeria,2,1950-01-24,None,42,1992-09-02,"Drama, Romance",207
820,8,2,Ben Gazzara,Saint Jack,11,41,44,1979,USA,2,1930-08-28,2012-02-03,48,1979-04-27,Drama,85
820,8,2,Takahiro Nishijima,Love Exposure,17,39,44,2008,Japan,2,1986-09-30,None,22,2008-11-29,"Action, Comedy, Drama, Romance",990
820,8,2,Walter Matthau,The Bad News Bears,5,39,44,1976,USA,2,1920-10-01,2000-07-01,55,1976-04-07,"Comedy, Family",889
820,8,2,Fernandel,The Little World of Don Camillo,4,41,44,1952,France,2,1903-05-08,1971-02-26,48,1952-03-28,Comedy,286
820,8,2,Demian Bichir,A Better Life,4,41,44,2011,Mexico,2,1963-08-01,None,47,2011-06-24,Drama,219
820,8,2,Peter Cushing,Horror of Dracula,5,39,44,1958,UK,2,1913-05-26,1994-08-11,44,1958-05-08,Horror,703
820,8,2,Justin Theroux,Mulholland Drive,7,41,44,2001,USA,2,1971-08-10,None,29,2001-05-16,"Thriller, Drama, Mystery",504
820,8,2,Yolande Moreau,Séraphine,7,41,44,2008,Belgium,1,1953-02-27,None,55,2008-10-01,"History, Drama",914
820,8,2,Alberto Sordi,In Prison Awaiting Trial,3,44,44,1971,Italy,2,1920-06-15,2003-02-25,51,1971-10-27,"Drama, Comedy",26
820,8,2,Laurence Harvey,Room at the Top,12,39,44,1959,Lithuania,2,1928-10-01,1973-11-25,30,1959-01-22,"Drama, Romance",538
820,8,2,Crissy Rock,"Ladybird, Ladybird",19,40,44,1994,UK,1,1958-09-23,None,35,1994-02-18,Drama,204
820,8,2,Adèle Haenel,Portrait of a Lady on Fire,2,43,44,2019,France,1,1989-01-01,None,30,2019-05-19,"Drama, Romance",7
820,8,2,George C. Scott,Hardcore,13,42,44,1979,USA,2,1927-10-18,1999-09-22,51,1979-02-09,"Crime, Drama",316
820,8,2,Lars Rudolph,Werckmeister harmóniák,12,39,44,2000,Germany,2,1966-08-18,None,33,2000-07-12,Drama,533
836,7,4,Sally Kellerman,MASH,3,45,2212,1970,USA,1,1937-06-02,None,32,1970-01-25,"Comedy, Drama, War",791
836,7,4,John Randolph,Seconds,18,39,3112,1966,USA,2,1915-06-01,2004-02-24,50,1966-05-16,"Science Fiction, Thriller",475
836,7,4,Elsa Lanchester,The Bride of Frankenstein,14,39,3211,1935,UK,1,1902-10-28,1986-12-26,32,1935-04-19,Horror,258
839,7,3,Fernanda Montenegro,Central Station,16,39,142,1998,Brazil,1,1929-10-16,None,69,1998-11-20,Drama,285
839,7,3,Armin Mueller-Stahl,Shine,20,48,142,1996,Germany,2,1930-12-17,None,65,1996-01-21,Drama,67
839,7,3,Christopher Plummer,Remember,1,44,124,2015,Canada,2,1929-12-13,None,85,2015-09-12,"Drama, Thriller, Mystery",180
839,7,3,Dianne Wiest,Parenthood,15,46,412,1989,USA,1,1948-03-28,None,41,1989-07-31,"Comedy, Drama, Family",230
839,7,3,Al Pacino,Cruising,10,45,214,1980,USA,2,1940-04-25,None,39,1980-02-08,"Crime, Drama, Mystery, Thriller",10
839,7,3,Alfred Molina,Chocolat,11,42,412,2000,UK,2,1953-05-24,None,46,2000-03-02,"Comedy, Drama, Romance",32
839,7,3,Simone Simon,Cat People,5,41,241,1942,France,1,1910-04-23,2005-02-22,32,1942-12-05,"Fantasy, Horror, Thriller",823
839,7,3,Burt Lancaster,Conversation Piece,3,46,241,1974,USA,2,1913-11-02,1994-10-20,61,1974-12-10,"Drama, Romance",131
839,7,3,Amy Adams,Doubt,8,46,412,2008,Italy,1,1974-08-20,None,33,2008-02-27,"Drama, Mystery",33
839,7,3,Tim Roth,The Legend of 1900,17,40,241,1998,UK,2,1961-05-14,None,37,1998-10-28,"Drama, Music, Romance",858
849,7,3,Julie Harris,The Haunting,5,42,232,1963,USA,1,1925-12-02,2013-08-24,37,1963-08-21,Horror,499
849,7,3,Yoon Jeong-hee,Poetry,6,40,133,2010,South Korea,1,1944-07-30,None,65,2010-05-13,Drama,999
849,7,3,George Bancroft,The Docks of New York,5,42,223,1928,USA,2,1882-09-30,1956-10-02,45,1928-09-16,"Drama, Romance",314
849,7,3,Jennifer Jason Leigh,Single White Female,18,40,331,1992,USA,1,1962-02-05,None,30,1992-08-14,Thriller,447
849,7,3,Jamie Foxx,Ray,17,41,322,2004,USA,2,1967-12-13,None,36,2004-09-12,"Drama, Music",419
854,7,2,Charlotte Rampling,Under the Sand,5,45,43,2001,UK,1,1946-02-05,None,54,2000-09-11,"Drama, Mystery",168
854,7,2,Anna Karina,A Woman is a Woman,18,41,43,1961,Denmark,1,1940-09-22,2019-12-14,20,1961-06-24,"Comedy, Drama, Romance",44
854,7,2,Warren Beatty,Bugsy,19,41,43,1991,USA,2,1937-03-30,None,54,1991-12-10,"Crime, Drama, Mystery",891
854,7,2,Sacha Baron Cohen,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,19,42,34,2006,UK,2,1971-10-13,None,34,2006-08-04,Comedy,789
854,7,2,Lyudmila Gurchenko,Station for Two,1,45,43,1982,USSR,1,1935-11-12,2011-03-30,46,1982-06-06,"Comedy, Drama, Romance",928
854,7,2,Renée Zellweger,Judy,1,45,43,2019,USA,1,1969-04-25,None,50,2019-08-30,Drama,736
854,7,2,Barbara Stanwyck,Stella Dallas,5,45,43,1937,USA,1,1907-07-16,1990-01-20,30,1937-08-05,"Drama, Romance",76
854,7,2,Machiko Kyo,Empress Yang Kwei Fei,5,45,34,1955,Japan,1,1924-03-25,2019-05-12,31,1955-05-03,"Romance, Drama, History",951
854,7,2,Cicely Tyson,Sounder,12,41,43,1972,USA,1,1924-12-19,None,47,1972-09-24,Drama,185
854,7,2,Kirin Kiki,Still Walking,10,46,43,2008,Japan,1,1943-01-15,2018-09-15,65,2008-06-28,"Drama, Family",983
854,7,2,Robert Pattinson,Cosmopolis,20,49,34,2012,UK,2,1986-05-13,None,26,2012-05-25,Drama,762
854,7,2,Hiroshi Abe,Still Walking,12,41,34,2008,Japan,2,1964-06-22,None,44,2008-06-28,"Drama, Family",991
854,7,2,Kim Sang-kyung,Memories of Murder,4,43,34,2003,South Korea,2,1972-06-01,None,30,2003-05-02,"Crime, Drama, Thriller",995
854,7,2,Mirjana Karanovic,When Father Was Away on Business,6,41,34,1985,Serbia,1,1957-01-28,None,28,1985-05-01,Drama,653
854,7,2,Anna Magnani,The Rose Tattoo,12,41,43,1955,Italy,1,1908-03-07,1973-09-26,47,1955-12-12,"Drama, Romance",47
854,7,2,Romy Schneider,The Swimming Pool,17,42,34,1969,Austria,1,1938-09-23,1982-05-29,30,1969-01-15,"Crime, Drama",776
854,7,2,Bruce Campbell,Evil Dead 2,13,43,34,1987,USA,2,1958-06-22,None,28,1987-03-13,"Horror, Comedy, Fantasy",122
854,7,2,Rutger Hauer,The Hitcher,7,43,43,1986,Netherlands,2,1944-01-23,2019-07-19,42,1986-01-17,"Horror, Action, Thriller",785
854,7,2,Alec Baldwin,Miami Blues,7,43,43,1990,USA,2,1958-04-03,None,32,1990-04-20,"Action, Crime, Drama, Thriller",27
873,6,3,Spike Lee,Do the Right Thing,16,40,132,1989,USA,2,1957-03-20,None,32,1989-05-19,Drama,831
873,6,3,Conrad Veidt,The Man Who Laughs,17,43,231,1928,Germany,2,1893-01-22,1943-04-03,35,1928-04-27,"Drama, Horror",202
873,6,3,Brooke Adams,Days of Heaven,8,47,231,1978,USA,1,1949-02-08,None,29,1978-09-13,"Drama, Romance",120
873,6,3,Ross Martin,Experiment in Terror,16,40,312,1962,Ukraine,2,1920-03-22,1981-07-03,42,1962-04-12,"Crime, Thriller",780
873,6,3,Harry Dean Stanton,Repo Man,16,40,132,1984,USA,2,1926-07-14,2017-09-15,57,1984-02-20,"Comedy, Science Fiction",349
878,6,2,Patrick Dewaere,Série noire,9,45,24,1979,France,2,1947-01-26,1982-07-16,32,1979-04-25,"Drama, Crime",687
878,6,2,Estelle Parsons,Bonnie and Clyde,13,45,42,1967,USA,1,1927-11-20,None,39,1967-07-18,"Crime, Drama",275
878,6,2,Anne Parillaud,La Femme Nikita,10,47,42,1990,France,1,1960-05-06,None,29,1990-02-21,"Action, Thriller",51
878,6,2,Dorothy Dandridge,Carmen Jones,12,44,42,1954,USA,1,1922-11-09,1965-09-08,31,1954-10-05,"Drama, Romance",237
878,6,2,Clive Owen,Croupier,16,43,42,1998,UK,2,1964-10-03,None,33,1998-06-25,"Drama, Thriller",198
878,6,2,Marlene Dietrich,The Scarlet Empress,5,48,42,1934,Germany,1,1901-12-27,1992-05-06,32,1934-05-09,"Drama, History, Romance",601
878,6,2,Juliette Binoche,Let the Sunshine In,14,40,42,2017,France,1,1964-03-09,None,53,2017-05-18,"Comedy, Drama, Romance",503
885,6,2,Walter Matthau,A New Leaf,19,43,33,1971,USA,2,1920-10-01,2000-07-01,50,1971-03-11,"Comedy, Romance",890
885,6,2,Yul Brynner,The Magnificent Seven,6,42,33,1960,USSR,2,1920-07-11,1985-10-10,39,1960-04-14,"Western, Action, Adventure",915
885,6,2,Tom Hardy,Locke,15,47,33,2013,UK,2,1977-09-15,None,35,2013-09-02,"Drama, Thriller",870
885,6,2,Mia Farrow,Alice,18,42,33,1990,USA,1,1945-02-09,None,45,1990-12-25,"Comedy, Drama, Romance",631
889,5,2,Barry Keoghan,The Killing of a Sacred Deer,1,47,41,2017,Ireland,2,1992-10-17,None,24,2017-05-22,"Drama, Thriller, Mystery",81
889,5,2,Gene Tierney,Leave Her to Heaven,7,45,41,1945,USA,1,1920-11-19,1991-11-06,25,1945-12-25,"Drama, Romance, Thriller",310
889,5,2,Marlon Brando,Reflections in a Golden Eye,7,45,41,1967,USA,2,1924-04-03,2004-07-01,43,1967-10-11,"Thriller, Romance, Drama",605
889,5,2,Adriana Barraza,Babel,9,46,41,2006,Mexico,1,1956-03-05,None,50,2006-09-08,Drama,5
889,5,2,John Malkovich,In the Line of Fire,11,43,41,1993,USA,2,1953-12-09,None,39,1993-07-08,"Action, Drama, Thriller, Crime, Mystery",473
889,5,2,Jennifer Jason Leigh,Miami Blues,17,44,41,1990,USA,1,1962-02-05,None,28,1990-04-20,"Action, Crime, Drama, Thriller",446
889,5,2,Betsy Palmer,Friday the 13th,6,43,41,1980,USA,1,1926-11-01,2015-05-29,53,1980-05-09,Horror,91
889,5,2,Lee Marvin,The Big Heat,6,43,41,1953,USA,2,1924-02-19,1987-08-29,29,1953-10-14,"Crime, Drama",544
889,5,2,Tony Leung Chiu Wai,A City of Sadness,5,49,14,1989,Hong Kong,2,1962-06-27,None,27,1989-09-12,"Drama, History",979
889,5,2,Dennis Hopper,Red Rock West,10,48,14,1993,USA,2,1936-05-17,2010-05-29,57,1993-07-02,"Thriller, Crime, Drama",223
899,5,2,Teresa Wright,The Best Years of Our Lives,9,47,23,1946,USA,1,1918-10-27,2005-03-06,28,1946-11-21,"Drama, Romance, War",852
899,5,2,Yella Rottlander,Alice in the Cities,17,45,32,1974,Germany,1,1964-01-01,None,10,1974-05-17,Drama,913
899,5,2,George Clooney,Michael Clayton,4,44,23,2007,USA,2,1961-05-06,None,46,2007-07-12,"Drama, Thriller",1004
899,5,2,Gabourey Sidibe,Precious,16,44,32,2009,USA,1,1983-05-06,None,26,2009-11-06,Drama,296
899,5,2,Jean-Claude Van Damme,JCVD,6,45,32,2008,Belgium,2,1960-10-18,None,47,2008-06-04,"Drama, Action, Comedy, Crime",436
899,5,2,Basil Rathbone,The Adventures of Robin Hood,14,41,32,1938,South African Republic,2,1892-06-13,1967-07-21,45,1938-05-12,"Action, Adventure, Romance",83
899,5,2,Jane Alexander,Testament,19,44,23,1983,USA,1,1939-10-28,None,44,1983-11-04,Drama,421
906,4,3,Marie Dressler,Dinner at Eight,12,45,121,1933,Canada,1,1868-11-09,1934-07-28,64,1933-08-29,"Comedy, Drama",587
907,4,2,Kerry Fox,An Angel at My Table,3,47,31,1990,New Zealand,1,1966-07-30,None,23,1990-06-11,Drama,519
907,4,2,Essie Davis,The Babadook,11,44,22,2014,Australia,1,1970-01-01,None,44,2014-01-17,"Drama, Horror",274
907,4,2,Ralph Meeker,Kiss Me Deadly,12,46,31,1955,USA,2,1920-11-21,1988-08-05,34,1955-04-20,"Mystery, Thriller",731
907,4,2,Michelle Williams,Take This Waltz,4,45,22,2011,USA,1,1980-09-09,None,31,2011-11-25,"Drama, Comedy",645
907,4,2,Edmond O'Brien,D.O.A.,13,46,31,1950,USA,2,1915-09-10,1985-05-09,34,1949-12-23,"Crime, Drama, Mystery",243
907,4,2,Amy Adams,Junebug,1,48,22,2005,Italy,1,1974-08-20,None,30,2005-01-24,"Comedy, Drama",34
907,4,2,Janet Gaynor,Street Angel,2,44,13,1928,USA,1,1906-10-06,1984-09-14,21,1928-04-09,"Drama, Romance",426
907,4,2,Ida Lupino,High Sierra,2,44,31,1941,UK,1,1918-02-04,1995-08-03,22,1941-01-23,"Action, Adventure, Crime, Drama, Thriller",377
907,4,2,Norma Shearer,The Women,14,42,22,1939,Canada,1,1902-08-10,1983-06-12,37,1939-08-29,"Comedy, Drama",674
907,4,2,Peter Mullan,Tyrannosaur,1,49,22,2011,UK,2,1959-11-02,None,51,2011-10-07,"Drama, Romance",710
907,4,2,Anders Danielsen Lie,"Oslo, August 31st",20,50,31,2011,Norway,2,1979-01-01,None,32,2011-05-18,Drama,36
907,4,2,Jeon Do-yeon,Secret Sunshine,7,47,13,2007,South Korea,1,1973-02-11,None,34,2007-05-23,Drama,1000
919,4,1,Bria Vinaite,The Florida Project,19,45,4,2017,Lithuania,1,1993-06-10,None,23,2017-05-22,Drama,114
919,4,1,Louis de Funès,"Don't Look Now, We've Been Shot At",3,48,4,1966,France,2,1914-07-31,1983-01-27,52,1966-12-07,"Comedy, War",562
919,4,1,Aisling Franciosi,The Nightingale,3,48,4,2018,Italy,1,1993-06-06,None,25,2018-09-06,"Drama, Thriller",9
919,4,1,Susan Hayward,I Want to Live!,8,48,4,1958,USA,1,1917-06-30,1975-03-14,41,1958-11-18,"Crime, Drama",841
919,4,1,Sandy Dennis,That Cold Day in the Park,11,45,4,1969,USA,1,1937-04-27,1992-03-02,32,1969-06-08,Drama,798
919,4,1,Debra Winger,Black Widow,15,48,4,1987,USA,1,1955-05-16,None,31,1987-02-06,"Mystery, Thriller",217
919,4,1,Adepero Oduye,Pariah,15,48,4,2011,USA,1,1978-01-11,None,33,2011-01-21,Drama,3
919,4,1,Rod Steiger,The Loved One,9,48,4,1965,USA,2,1925-04-14,2002-07-09,40,1965-10-11,Comedy,772
919,4,1,Matthias Schoenaerts,Bullhead,14,43,4,2011,Belgium,2,1977-12-08,None,33,2011-02-02,"Crime, Drama",615
919,4,1,Geraldine Page,The Pope of Greenwich Village,14,43,4,1984,USA,1,1924-11-22,1987-06-13,59,1984-06-22,"Drama, Action, Comedy, Crime",322
919,4,1,Willem Dafoe,At Eternity's Gate,14,43,4,2018,USA,2,1955-07-22,None,63,2018-09-03,Drama,895
919,4,1,Florence Pugh,Fighting With My Family,6,46,4,2019,UK,1,1996-01-03,None,23,2019-01-28,"Comedy, Drama",288
919,4,1,Jean Yanne,Le Boucher,5,50,4,1970,France,2,1933-07-18,2003-05-23,36,1970-02-27,"Thriller, Drama",442
919,4,1,William Talman,The Hitch-Hiker,13,47,4,1953,USA,2,1915-02-04,1968-08-30,38,1953-03-20,"Crime, Thriller",908
919,4,1,Mickey Rooney,National Velvet,13,47,4,1944,USA,2,1920-09-23,2014-04-06,24,1944-12-14,"Drama, Family",647
919,4,1,Peter Mullan,My Name Is Joe,12,47,4,1998,UK,2,1959-11-02,None,38,1998-05-15,"Drama, Romance",709
919,4,1,Richard Gere,Internal Affairs,12,47,4,1990,USA,2,1949-08-31,None,40,1990-01-12,"Crime, Drama",747
919,4,1,Angela Bassett,What’s Love Got to Do With It,4,46,4,1993,USA,1,1958-08-16,None,34,1993-06-09,"Drama, Music",40
919,4,1,Luis Gnecco,Neruda,4,46,4,2016,Chile,2,1962-12-12,None,53,2016-05-13,Drama,566
919,4,1,Juliette Binoche,"Camille Claudel, 1915",11,45,4,2013,France,1,1964-03-09,None,48,2013-02-12,Drama,500
919,4,1,Catherine Deneuve,Mississippi Mermaid,11,45,4,1969,France,1,1943-10-22,None,25,1969-06-18,"Crime, Drama, Romance",150
919,4,1,Barbra Streisand,The Way We Were,10,49,4,1973,USA,1,1942-04-24,None,31,1973-10-17,"Drama, Romance",80
919,4,1,Ge You,To Live,6,46,4,1994,China,2,1957-04-19,None,37,1994-05-17,"Drama, Romance, War",989
919,4,1,Krystyna Janda,Interrogation,9,48,4,1989,Poland,1,1952-12-18,,29,1982-12-01,Drama,530
919,4,1,Juanita Moore,Imitation of Life,11,45,4,1959,USA,1,1914-10-19,2014-01-01,44,1959-03-17,"Drama, Romance",485
919,4,1,Jeong Jae-yeong,Castaway on the Moon,1,50,4,2009,South Korea,2,1970-11-21,None,38,2009-05-14,"Drama, Comedy, Romance",1001
919,4,1,Brigitte Mira,Mother Küsters Goes to Heaven,16,45,4,1975,Germany,1,1910-04-20,2005-03-08,65,1975-07-01,Drama,119
919,4,1,Barbara Hershey,Last Summer,17,46,4,1969,USA,1,1948-02-05,None,21,1969-06-10,Drama,73
919,4,1,Sonia Braga,Aquarius,2,46,4,2016,Brazil,1,1950-06-08,None,65,2016-05-17,Drama,827
919,4,1,Michel Piccoli,The Things of Life,16,45,4,1970,France,2,1925-12-27,2020-05-12,44,1970-03-13,"Drama, Romance",644
919,4,1,Pat Shortt,Garage,16,45,4,2007,Ireland,2,1966-12-12,None,40,2007-10-05,"Comedy, Drama",685
919,4,1,Paul L. Smith,Midnight Express,18,43,4,1978,USA,2,1939-02-05,2012-04-25,39,1978-05-18,"Drama, Crime",691
919,4,1,Stephane Audran,The Butcher,7,48,4,1970,France,1,1932-11-08,2018-03-27,37,1970-02-27,"Thriller, Drama",833
952,3,2,Nadezhda Markina,Elena,14,46,21,2011,USSR,1,1959-01-29,None,52,2011-05-21,"Drama, Thriller",930
952,3,2,Divine,Female Trouble,6,48,12,1974,USA,2,1945-10-19,1988-03-07,28,1974-10-04,"Comedy, Crime",234
954,3,1,Hugh Jackman,Logan,18,44,3,2017,Australia,2,1968-10-12,None,48,2017-02-17,"Action, Drama, Science Fiction",366
954,3,1,Jon Voight,The Odessa File,12,49,3,1974,USA,2,1938-12-29,None,35,1974-10-17,"Drama, Thriller",482
954,3,1,Rudiger Vogler,Alice in the Cities,12,49,3,1974,Germany,2,1942-05-14,None,32,1974-05-17,Drama,782
954,3,1,Michel Bouquet,La Femme infidele,18,44,3,1969,France,2,1925-11-06,None,43,1969-01-01,"Drama, Thriller",642
954,3,1,Barry Newman,Vanishing Point,4,48,3,1971,USA,2,1938-11-07,None,32,1971-01-15,"Action, Drama",82
954,3,1,Nick Frost,Shaun of the Dead,18,44,3,2004,UK,2,1972-03-28,None,32,2004-03-29,"Horror, Comedy",665
954,3,1,Robert De Niro,The Fan,13,43,3,1996,USA,2,1943-08-17,None,53,1996-08-15,"Thriller, Action",754
954,3,1,Martina Gedeck,The Wall,18,44,3,2012,Germany,1,1961-09-14,None,50,2012-02-12,"Science Fiction, Drama",612
954,3,1,Anthony Hopkins,The World's Fastest Indian,18,44,3,2005,UK,2,1937-12-31,None,67,2005-10-12,Drama,56
954,3,1,Tim Roth,Made in Britain,13,49,3,1982,UK,2,1961-05-14,None,20,1982-02-25,"Crime, Drama, TV Movie",859
954,3,1,Joanne Woodward,The Three Faces of Eve,2,47,3,1957,USA,1,1930-02-27,None,27,1957-12-23,"Drama, Mystery",457
954,3,1,Richard E. Grant,How to Get Ahead in Advertising,2,47,3,1989,Swaziland,2,1957-05-05,None,32,1989-05-05,"Fantasy, Comedy, Drama",743
954,3,1,Karen Black,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",17,47,3,1982,USA,1,1939-07-01,2013-08-08,43,1982-11-12,"Comedy, Drama",506
954,3,1,Franz Rogowski,Transit,14,47,3,2018,Germany,2,1986-02-02,None,32,2018-02-17,"Drama, War, Romance",295
954,3,1,Hertha Thiele,Maidens in Uniform,14,47,3,1931,Germany,1,1908-05-08,1984-08-05,23,1931-11-27,"Romance, Drama",363
954,3,1,Laia Costa,My Name Is Victoria,9,50,3,2015,Spain,1,1985-02-18,None,31,2016-05-12,"Comedy, Drama, Romance",531
954,3,1,Theresa Russell,Black Widow,16,48,3,1987,USA,1,1957-03-20,None,29,1987-02-06,"Mystery, Thriller",851
954,3,1,Pete Postlethwaite,Brassed Off,16,48,3,1996,UK,2,1945-02-07,2011-01-02,51,1996-11-01,"Comedy, Romance, Drama",702
954,3,1,Murray Hamilton,Seconds,8,49,3,1966,USA,2,1923-03-24,1986-09-01,43,1966-05-16,"Science Fiction, Thriller",660
954,3,1,Machiko Kyo,Street of Shame,19,46,3,1956,Japan,1,1924-03-25,2019-05-12,32,1956-03-18,Drama,953
954,3,1,Maria Schell,White Nights,19,46,3,1957,Austria,1,1926-01-15,2005-04-26,31,1957-06-07,"Drama, Romance",1010
954,3,1,Cocco,Kotoko,2,47,3,2011,Japan,0,1977-01-19,None,34,2011-11-26,"Drama, Horror",200
954,3,1,Cynthia Nixon,A Quiet Passion,10,50,3,2016,USA,1,1966-04-09,None,49,2016-02-14,Drama,205
